population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,Demographic ID
40099462.0,54.422,18.6,2.581,1.337,1803.987,,1
2854710.0,104.871,38.0,13.188,8.643,11803.431,1.1,2
44177969.0,17.348,29.1,6.211,3.857,13913.839,0.5,3
79034.0,163.755,,,,,,4
34503774.0,23.89,16.8,2.405,1.362,5819.495,,5
15753.0,,,,,,,6
93220.0,231.845,32.1,6.933,4.631,21490.943,,7
45276780.0,16.177,31.9,11.198,7.441,18933.907,0.6,8
2790974.0,102.931,35.7,11.232,7.571,8787.58,1.8,9
106536.0,584.8,41.2,13.085,7.452,35973.781,,10
25921089.0,3.202,37.9,15.504,10.129,44648.71,0.5,11
8922082.0,106.749,44.4,19.202,13.748,45436.686,0.7,12
10312992.0,119.309,32.4,6.018,3.871,15847.419,,13
407906.0,39.497,34.3,8.996,5.2,27717.847,,14
1463265.0,1935.907,32.4,2.372,1.387,43290.705,,15
169356251.0,1265.036,27.5,5.098,3.262,3523.984,14.8,16
281200.0,664.463,39.8,14.952,9.473,16978.068,,17
9578168.0,46.858,40.3,14.799,9.788,17167.967,,18
11611420.0,375.564,41.8,18.571,12.849,42658.576,0.2,19
400031.0,16.426,25.0,3.853,2.279,7824.362,,20
12996895.0,99.11,18.8,3.244,1.942,2064.236,49.6,21
64185.0,1308.82,,,,50669.315,,22
777486.0,21.188,28.6,4.885,2.977,8708.597,1.5,23
12079472.0,10.202,25.4,6.704,4.393,6885.829,7.1,24
26706.0,,,,,,,25
3270943.0,68.496,42.5,16.569,10.711,11713.895,0.2,26
2588423.0,4.044,25.8,3.941,2.242,15807.374,,27
214326223.0,25.04,33.5,8.552,5.06,14103.452,3.4,28
31122.0,207.973,,,,,,29
445373.0,81.347,32.4,4.591,2.382,71809.251,,30
6885868.0,65.18,44.7,20.801,13.272,18563.307,1.5,31
22100683.0,70.151,17.6,2.409,1.358,1703.102,43.7,32
12551213.0,423.062,17.5,2.562,1.504,702.225,71.7,33
16589023.0,90.672,25.6,4.412,2.385,3645.07,,34
27198628.0,50.885,18.8,3.165,1.919,3364.926,23.8,35
38155012.0,4.037,41.4,16.984,10.797,44017.591,0.5,36
587925.0,135.58,25.7,4.46,3.437,6222.554,,37
68136.0,256.496,,,,49903.029,,38
5457154.0,7.479,18.3,3.655,2.251,661.24,,39
17179740.0,11.833,16.7,2.486,1.446,1768.153,38.4,40
19493184.0,24.282,35.4,11.087,6.938,22767.037,1.3,41
1425893464.0,147.674,38.7,10.641,5.929,15308.712,0.7,42
51516562.0,44.223,32.2,7.646,4.312,13254.949,4.5,43
821626.0,437.352,20.4,2.963,1.726,1413.89,18.1,44
5835806.0,15.405,19.0,3.402,2.063,4881.406,37.0,45
17003.0,,,,,,,46
5153957.0,96.079,33.6,9.468,5.694,15524.995,1.3,47
27478249.0,76.399,18.7,2.933,1.582,3601.006,28.2,48
4060135.0,73.726,44.0,19.724,13.053,22669.797,0.7,49
11256372.0,110.408,43.1,14.738,9.719,,,50
190338.0,362.644,41.7,16.367,10.068,,,51
896007.0,127.657,37.3,13.416,8.563,32415.132,,52
10510750.0,137.176,43.3,19.027,11.58,32605.906,,53
95894118.0,35.879,17.0,3.02,1.745,808.133,77.1,54
5854240.0,136.52,42.3,19.677,12.325,46682.515,0.2,55
1105557.0,41.285,25.4,4.213,2.38,2705.406,22.5,56
72412.0,98.567,,,,9673.367,,57
11117874.0,222.873,27.6,6.981,4.419,14600.861,1.6,58
17797737.0,66.939,28.1,7.104,4.458,10581.936,3.6,59
109262178.0,97.999,25.3,5.159,2.891,10550.206,1.3,60
6314167.0,307.811,27.6,8.273,5.417,7292.458,2.2,61
1634466.0,45.194,22.4,2.846,1.752,22604.873,,62
3620312.0,44.304,19.3,3.607,2.171,1510.459,,63
1328701.0,31.033,42.7,19.452,13.491,29481.252,0.5,64
1192271.0,79.492,21.5,3.163,1.845,7738.975,,65
120283026.0,104.957,19.8,3.526,2.063,1729.927,26.7,66
52888.0,35.308,,,,,,67
3764.0,,,,,,,68
924610.0,49.562,28.6,6.224,3.284,8702.975,1.4,69
5535992.0,18.136,42.8,21.228,13.264,40585.721,,70
67422000.0,122.578,42.0,19.718,13.079,38605.671,,71
304032.0,77.324,32.7,7.775,4.593,,,72
2341179.0,7.859,23.1,4.45,2.976,16562.413,3.4,73
2639916.0,207.566,17.5,2.339,1.417,1561.767,10.1,74
3757980.0,65.032,38.7,14.864,10.244,9745.079,4.2,75
83408554.0,237.016,46.6,21.453,15.957,45229.245,,76
32833031.0,126.719,21.1,3.385,1.948,4227.63,12.0,77
32670.0,3457.1,,,,,,78
10445365.0,83.479,45.3,20.396,14.524,24574.382,1.5,79
56243.0,0.137,,,,,,80
124610.0,317.132,29.4,7.304,5.021,13593.877,,81
170534.0,304.128,31.4,9.551,5.493,,,82
17608483.0,157.834,22.9,4.694,3.016,7423.808,8.7,83
63065.0,,,,,,,84
13531906.0,51.755,19.0,3.135,1.733,1998.926,35.3,85
2060721.0,66.191,19.4,3.002,1.565,1548.675,67.1,86
804567.0,3.952,26.3,5.305,2.837,7435.047,,87
11447569.0,398.448,24.3,4.8,2.954,1653.173,23.5,88
10278346.0,82.805,24.9,4.652,2.883,4541.795,16.0,89
7494578.0,7039.714,44.8,16.303,10.158,56054.92,,90
9709786.0,108.043,43.4,18.577,11.976,26777.561,0.5,91
370335.0,3.404,37.3,14.431,9.207,46482.958,0.2,92
1407563842.0,450.419,28.2,5.989,3.414,6426.674,21.2,93
273753191.0,145.725,29.3,5.319,3.053,11188.744,5.7,94
87923432.0,49.831,32.4,5.44,3.182,19082.62,0.2,95
43533592.0,88.125,20.0,3.186,1.957,15663.986,2.5,96
4986526.0,69.874,38.7,13.928,8.678,67335.293,0.2,97
84263.0,147.872,,,,,,98
9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,99
59240330.0,205.859,47.9,23.021,16.24,35220.084,2.0,100
2827694.0,266.879,31.4,9.684,6.39,8193.571,,101
124612530.0,347.778,48.2,27.049,18.493,39002.223,,102
109618.0,,,,,,,103
11148278.0,109.285,23.2,3.81,2.361,8337.49,0.1,104
19196465.0,6.681,30.6,6.991,4.625,24055.588,0.1,105
53005614.0,87.324,20.0,2.686,1.528,2993.028,36.8,106
128874.0,143.701,23.2,3.895,2.21,1981.132,,107
1782115.0,168.155,,,,9795.834,0.6,108
4250114.0,232.128,33.7,2.345,1.114,65530.537,,109
6527743.0,32.333,26.3,4.489,2.882,3393.474,1.4,110
7425058.0,29.715,24.4,4.029,2.322,6397.36,22.7,111
1873919.0,31.212,43.9,19.754,14.136,25063.846,0.7,112
5592631.0,594.561,31.1,8.514,5.43,13367.565,,113
