stringency_index,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,Other ID
8.33,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,1
27.78,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,2
38.89,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,3
41.67,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,4
50.93,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,5
59.26,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,6
67.59,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,7
78.7,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,8
84.26,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,9
75.0,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,10
71.3,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,11
60.19,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,12
48.15,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,13
28.7,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,14
25.0,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,15
16.67,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,16
9.26,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,17
12.04,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,18
30.56,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,19
26.85,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,20
54.63,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,21
36.11,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,22
43.52,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,23
46.3,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,24
56.02,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,25
52.31,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,26
22.22,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,27
18.52,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,28
42.59,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,29
35.19,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,30
19.44,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,31
11.11,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,32
,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,33
8.33,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,34
8.33,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,-190.8,-4.34,2.88,35
36.11,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,36
41.67,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,37
51.85,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,38
78.7,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,39
81.48,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,40
84.26,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,41
84.26,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,-165.0,-2.59,1.31,42
89.81,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,43
89.81,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,-95.0,-1.17,4.04,44
83.33,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,45
86.11,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,46
86.11,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,23.0,0.24,7.0,47
71.3,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,48
