School,Sex,Age,Area Type,Reason,Study Time,Failed,Workday Alcohol Consumption,Weekly Alcohol Consumption,Health Status,# of Class Absent,FamilyInfoSK,StudentInfoSK
Gabriel Pereira,Female,18,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,6,1,1
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,4,2,2
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,3,Low,Normal,Normal,10,3,3
Gabriel Pereira,Female,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Very High,2,4,4
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Very High,4,5,5
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Very High,10,6,6
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Normal,0,7,7
Gabriel Pereira,Female,17,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,6,8,8
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,0,9,9
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,0,10,10
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Low,0,11,11
Gabriel Pereira,Female,15,Urban,School Reputation,5 to 10 hours,0,Very Low,Very Low,High,4,12,12
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Normal,Very High,2,13,13
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Normal,2,14,14
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Normal,0,15,15
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Low,4,16,7
Gabriel Pereira,Female,16,Urban,School Reputation,5 to 10 hours,0,Very Low,Low,Low,6,17,16
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,High,4,18,17
Gabriel Pereira,Male,17,Urban,Course Preference,Less than 2 hours,3,Low,High,Very High,16,19,18
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Normal,Very High,4,20,19
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,0,21,20
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,0,Very Low,Very Low,Very High,0,22,21
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Normal,Very High,2,23,22
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Low,High,Very High,0,24,23
Gabriel Pereira,Female,15,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,2,25,24
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,2,Very Low,Normal,Very High,14,26,25
Gabriel Pereira,Male,15,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Very High,2,27,9
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,0,Low,High,Very Low,4,28,26
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,4,29,27
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very High,Very High,Very High,16,30,28
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Normal,High,Very High,0,31,29
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,0,32,30
Gabriel Pereira,Male,15,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,33,31
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Low,0,34,32
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Very High,0,35,33
Gabriel Pereira,Female,15,Urban,Other,Less than 2 hours,0,Very Low,Very Low,Very High,0,36,34
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,High,2,37,35
Gabriel Pereira,Male,16,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,Very High,7,38,36
Gabriel Pereira,Female,15,Rural,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,2,39,24
Gabriel Pereira,Female,15,Rural,School Reputation,Less than 2 hours,0,Very Low,Very Low,Low,8,40,37
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,1,Very Low,Low,Normal,25,41,38
Gabriel Pereira,Male,15,Urban,Close to Home,Less than 2 hours,0,Low,High,Very High,8,42,39
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,2,43,40
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very Low,0,44,41
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,1,Low,Low,Very High,14,45,27
Gabriel Pereira,Female,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,8,46,42
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,High,Normal,12,47,43
Gabriel Pereira,Male,16,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,Low,4,48,12
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Low,Low,Very High,2,49,44
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,1,Very Low,Very Low,Normal,2,43,45
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Low,Normal,High,2,50,11
Gabriel Pereira,Female,15,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Very High,2,51,11
Gabriel Pereira,Male,15,Urban,Other,Less than 2 hours,1,Normal,High,Very High,6,52,46
Gabriel Pereira,Female,15,Urban,Course Preference,Less than 2 hours,0,Low,Normal,Very High,0,17,47
Gabriel Pereira,Female,15,Urban,Other,Less than 2 hours,0,High,High,Very Low,6,53,48
Gabriel Pereira,Female,16,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Low,8,54,49
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,0,55,50
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,4,11,51
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,2,56,52
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,2,57,53
Gabriel Pereira,Female,16,Rural,Other,2 to 5 hours,0,Low,Normal,High,6,58,54
Gabriel Pereira,Female,16,Urban,Course Preference,Less than 2 hours,0,Very High,Very High,Very High,6,59,55
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very Low,4,60,56
Gabriel Pereira,Female,16,Urban,Close to Home,5 to 10 hours,0,Low,High,High,2,61,57
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Low,High,Low,0,62,58
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very Low,2,37,35
Gabriel Pereira,Male,15,Urban,School Reputation,More than 10 hours,0,Very High,Very High,Normal,4,63,38
Gabriel Pereira,Female,16,Urban,Course Preference,More than 10 hours,0,Very Low,Low,Very High,4,64,59
Gabriel Pereira,Female,15,Rural,School Reputation,2 to 5 hours,0,Very Low,Normal,High,2,65,60
Gabriel Pereira,Female,15,Rural,School Reputation,More than 10 hours,0,Low,Normal,Normal,12,66,61
Gabriel Pereira,Male,16,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,Very High,0,67,62
Gabriel Pereira,Male,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Normal,0,68,63
Gabriel Pereira,Female,15,Rural,School Reputation,2 to 5 hours,2,Low,High,Very High,2,69,64
Gabriel Pereira,Male,16,Urban,School Reputation,Less than 2 hours,0,Low,Low,Very High,2,70,65
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Low,High,Very High,54,71,66
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Very High,6,21,13
Gabriel Pereira,Male,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Very Low,8,72,35
Gabriel Pereira,Female,16,Urban,School Reputation,More than 10 hours,0,Very Low,Normal,Normal,0,73,67
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,3,Very Low,Very Low,Normal,2,74,68
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Normal,12,75,69
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Normal,Normal,2,76,70
Gabriel Pereira,Male,15,Urban,Close to Home,5 to 10 hours,0,Very Low,Low,Very High,4,77,71
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,10,78,72
Gabriel Pereira,Male,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Normal,High,4,79,13
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,0,Low,Normal,High,2,80,32
Gabriel Pereira,Female,15,Urban,School Reputation,2 to 5 hours,2,Low,Normal,Very High,6,81,73
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Low,4,82,74
Gabriel Pereira,Female,15,Urban,School Reputation,5 to 10 hours,0,Very Low,Normal,Very Low,4,83,40
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,1,Very Low,Very Low,Normal,12,84,75
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Normal,Very High,Very High,18,85,76
