School,Sex,Age,Area Type,Family Size,Parents Cohabitation,Mother's Education,Father's Education,Mother's Job,Fathers's Job,Reason,Guardian,Study Time,Failed,Extra School Support,Extra Paid Courses,Extra Activities,Attended Nursery School,Wants Higher Education,Internet Access,In a Romantic Relation,Family Relation,Free Time,Go Out,Workday Alcohol Consumption,Weekly Alcohol Consumption,Health Status,# of Class Absent
Gabriel Pereira,Female,18,Urban,More than 3,Apart,Higher,Higher,At Home,Teacher,Course Preference,Mother,2 to 5 hours,0,yes,no,no,yes,yes,no,no,Good,Normal,High,Very Low,Very Low,Normal,6
Gabriel Pereira,Female,17,Urban,More than 3,Together,Primary,Primary,At Home,Other,Course Preference,Father,2 to 5 hours,0,no,no,no,no,yes,yes,no,Excellent,Normal,Normal,Very Low,Very Low,Normal,4
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Together,Primary,Primary,At Home,Other,Other,Mother,2 to 5 hours,3,yes,yes,no,yes,yes,yes,no,Good,Normal,Low,Low,Normal,Normal,10
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,5th to 9th grade,Health,Services,Close to Home,Mother,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Normal,Low,Low,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Secondary,other,Other,Close to Home,Father,2 to 5 hours,0,no,yes,no,yes,yes,no,no,Good,Normal,Low,Very Low,Low,Very High,4
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Together,Higher,Secondary,Services,Other,School Reputation,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,High,Low,Very Low,Low,Very High,10
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,other,Other,Close to Home,Mother,2 to 5 hours,0,no,no,no,yes,yes,yes,no,Good,High,High,Very Low,Very Low,Normal,0
Gabriel Pereira,Female,17,Urban,More than 3,Apart,Higher,Higher,other,Teacher,Close to Home,Mother,2 to 5 hours,0,yes,no,no,yes,yes,no,no,Good,Very Low,High,Very Low,Very Low,Very Low,6
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Apart,Secondary,5th to 9th grade,Services,Other,Close to Home,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Good,Low,Low,Very Low,Very Low,Very Low,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Secondary,Higher,other,Other,Close to Home,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,Very High,Very Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,Higher,Teacher,Health,School Reputation,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Normal,Normal,Normal,Very Low,Low,Low,0
Gabriel Pereira,Female,15,Urban,More than 3,Together,5th to 9th grade,Primary,Services,Other,School Reputation,Father,5 to 10 hours,0,no,no,yes,yes,yes,yes,no,Excellent,Low,Low,Very Low,Very Low,High,4
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Higher,Higher,Health,Services,Course Preference,Father,Less than 2 hours,0,no,yes,yes,yes,yes,yes,no,Good,Normal,Normal,Very Low,Normal,Very High,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Secondary,Teacher,Other,Course Preference,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Excellent,High,Normal,Very Low,Low,Normal,2
Gabriel Pereira,Male,15,Urban,More than 3,Apart,5th to 9th grade,5th to 9th grade,other,Other,Close to Home,Other,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,Good,Very High,Low,Very Low,Very Low,Normal,0
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,Higher,Health,Other,Close to Home,Mother,Less than 2 hours,0,no,no,no,yes,yes,yes,no,Good,High,High,Very Low,Low,Low,4
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,Higher,Services,Services,School Reputation,Mother,5 to 10 hours,0,no,yes,yes,yes,yes,yes,no,Normal,Low,Normal,Very Low,Low,Low,6
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Secondary,other,Other,School Reputation,Mother,2 to 5 hours,0,yes,no,yes,yes,yes,no,no,Excellent,Normal,Low,Very Low,Very Low,High,4
Gabriel Pereira,Male,17,Urban,More than 3,Together,Secondary,5th to 9th grade,Services,Services,Course Preference,Mother,Less than 2 hours,3,no,no,yes,yes,yes,yes,no,Excellent,Very High,Very High,Low,High,Very High,16
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Together,Higher,Secondary,Health,Other,Close to Home,Father,Less than 2 hours,0,no,yes,yes,yes,yes,yes,no,Normal,Very Low,Normal,Very Low,Normal,Very High,4
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Secondary,Teacher,Other,School Reputation,Mother,2 to 5 hours,0,no,no,no,yes,yes,yes,no,Good,High,Very Low,Very Low,Very Low,Very Low,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Health,Health,Other,Father,Less than 2 hours,0,no,yes,no,yes,yes,yes,no,Excellent,High,Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Together,Higher,5th to 9th grade,Teacher,Other,Course Preference,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Good,Very High,Very Low,Very Low,Normal,Very High,2
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,other,Other,School Reputation,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Excellent,High,High,Low,High,Very High,0
Gabriel Pereira,Female,15,Rural,More than 3,Together,5th to 9th grade,Higher,Services,Health,Course Preference,Mother,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,no,Good,Normal,Low,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,Services,Services,Close to Home,Mother,Less than 2 hours,2,no,yes,no,no,yes,yes,no,Very Bad,Low,Low,Very Low,Normal,Very High,14
Gabriel Pereira,Male,15,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,other,Other,Close to Home,Mother,Less than 2 hours,0,no,yes,no,yes,yes,yes,no,Good,Low,Low,Very Low,Low,Very High,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,5th to 9th grade,Health,Services,Other,Mother,Less than 2 hours,0,no,yes,no,yes,yes,yes,no,Bad,Low,High,Low,High,Very Low,4
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Apart,Secondary,Higher,Services,Other,Close to Home,Mother,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,Excellent,Normal,Normal,Very Low,Very Low,Very High,4
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Higher,Teacher,Teacher,Close to Home,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Good,High,Very High,Very High,Very High,Very High,16
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Health,Services,Close to Home,Mother,2 to 5 hours,0,no,yes,no,no,yes,yes,no,Excellent,High,Low,Normal,High,Very High,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Services,Services,School Reputation,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Good,Normal,Very Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,15,Rural,More than 3,Together,Higher,Secondary,Teacher,At Home,Course Preference,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,Good,Very High,Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Secondary,Secondary,other,Other,Course Preference,Mother,2 to 5 hours,0,no,no,yes,no,yes,yes,no,Excellent,Normal,Low,Very Low,Very Low,Low,0
Gabriel Pereira,Male,16,Urban,More than 3,Together,Secondary,5th to 9th grade,other,Other,Close to Home,Mother,Less than 2 hours,0,no,yes,no,no,yes,yes,no,Excellent,High,Normal,Very Low,Very Low,Very High,0
Gabriel Pereira,Female,15,Urban,More than 3,Together,5th to 9th grade,Secondary,other,Other,Other,Father,Less than 2 hours,0,no,no,yes,yes,yes,no,no,Normal,Very High,Very Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Higher,Secondary,Teacher,Services,Close to Home,Mother,5 to 10 hours,0,no,no,yes,yes,yes,yes,no,Excellent,High,Normal,Very Low,Very Low,High,2
Gabriel Pereira,Male,16,Rural,More than 3,Apart,Higher,Higher,other,Teacher,School Reputation,Mother,5 to 10 hours,0,no,no,yes,yes,yes,yes,yes,Bad,High,Normal,Very Low,Very Low,Very High,7
Gabriel Pereira,Female,15,Rural,More than 3,Together,Secondary,Higher,Services,Health,Course Preference,Mother,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,no,Good,Normal,Low,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,15,Rural,More than 3,Together,5th to 9th grade,5th to 9th grade,At Home,Other,School Reputation,Mother,Less than 2 hours,0,yes,yes,yes,yes,yes,no,no,Good,Normal,Very Low,Very Low,Very Low,Low,8
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,other,Other,Close to Home,Mother,2 to 5 hours,1,no,no,yes,no,yes,yes,yes,Normal,Normal,Normal,Very Low,Low,Normal,25
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Higher,Higher,Teacher,Other,Close to Home,Other,Less than 2 hours,0,no,no,no,no,yes,yes,yes,Excellent,High,Normal,Low,High,Very High,8
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Services,Teacher,Course Preference,Father,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Good,Normal,Normal,Very Low,Very Low,Very High,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,Services,Services,Course Preference,Father,Less than 2 hours,0,yes,no,no,yes,yes,yes,no,Excellent,High,Very Low,Very Low,Very Low,Very Low,0
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,other,At Home,Course Preference,Father,2 to 5 hours,1,yes,no,yes,yes,yes,yes,no,Good,Normal,Normal,Low,Low,Very High,14
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Apart,Higher,Secondary,other,Other,Course Preference,Mother,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,Excellent,Low,Low,Very Low,Very Low,Very High,8
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Apart,Secondary,Secondary,other,Services,Close to Home,Mother,2 to 5 hours,0,no,no,no,yes,yes,yes,no,Bad,Normal,Very High,Very Low,High,Normal,12
