Location ID,iso_code,continent,location
1,AFG,Asia,Afghanistan
2,OWID_AFR,,Africa
3,ALB,Europe,Albania
4,DZA,Africa,Algeria
5,AND,Europe,Andorra
6,AGO,Africa,Angola
7,AIA,North America,Anguilla
8,ATG,North America,Antigua and Barbuda
9,ARG,South America,Argentina
10,ARM,Asia,Armenia
11,ABW,North America,Aruba
12,OWID_ASI,,Asia
13,AUS,Oceania,Australia
14,AUT,Europe,Austria
15,AZE,Asia,Azerbaijan
16,BHS,North America,Bahamas
17,BHR,Asia,Bahrain
18,BGD,Asia,Bangladesh
19,BRB,North America,Barbados
20,BLR,Europe,Belarus
21,BEL,Europe,Belgium
22,BLZ,North America,Belize
23,BEN,Africa,Benin
24,BMU,North America,Bermuda
25,BTN,Asia,Bhutan
26,BOL,South America,Bolivia
27,BES,North America,Bonaire Sint Eustatius and Saba
28,BIH,Europe,Bosnia and Herzegovina
29,BWA,Africa,Botswana
30,BRA,South America,Brazil
31,VGB,North America,British Virgin Islands
32,BRN,Asia,Brunei
33,BGR,Europe,Bulgaria
34,BFA,Africa,Burkina Faso
35,BDI,Africa,Burundi
36,KHM,Asia,Cambodia
37,CMR,Africa,Cameroon
38,CAN,North America,Canada
39,CPV,Africa,Cape Verde
40,CYM,North America,Cayman Islands
41,CAF,Africa,Central African Republic
42,TCD,Africa,Chad
43,CHL,South America,Chile
44,CHN,Asia,China
45,COL,South America,Colombia
46,COM,Africa,Comoros
47,COG,Africa,Congo
48,COK,Oceania,Cook Islands
49,CRI,North America,Costa Rica
50,CIV,Africa,Cote d'Ivoire
51,HRV,Europe,Croatia
52,CUB,North America,Cuba
53,CUW,North America,Curacao
54,CYP,Europe,Cyprus
55,CZE,Europe,Czechia
56,COD,Africa,Democratic Republic of Congo
57,DNK,Europe,Denmark
58,DJI,Africa,Djibouti
59,DMA,North America,Dominica
60,DOM,North America,Dominican Republic
61,ECU,South America,Ecuador
62,EGY,Africa,Egypt
63,SLV,North America,El Salvador
64,GNQ,Africa,Equatorial Guinea
65,ERI,Africa,Eritrea
66,EST,Europe,Estonia
67,SWZ,Africa,Eswatini
68,ETH,Africa,Ethiopia
69,OWID_EUR,,Europe
70,OWID_EUN,,European Union
71,FRO,Europe,Faeroe Islands
72,FLK,South America,Falkland Islands
73,FJI,Oceania,Fiji
74,FIN,Europe,Finland
75,FRA,Europe,France
76,PYF,Oceania,French Polynesia
77,GAB,Africa,Gabon
78,GMB,Africa,Gambia
