icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,Medical ID
,,,,1
62.0,,,,2
67.0,,,,3
64.0,,,,4
56.0,,,,5
51.0,,,,6
66.0,,,,7
63.0,,,,8
58.0,,,,9
65.0,,,,10
54.0,,,,11
55.0,,,,12
57.0,,,,13
47.0,,,,14
53.0,,,,15
44.0,,,,16
46.0,,,,17
37.0,,,,18
40.0,,,,19
41.0,,,,20
49.0,,,,21
31.0,,,,22
28.0,,,,23
29.0,,,,24
38.0,,,,25
35.0,,,,26
42.0,,,,27
43.0,,,,28
39.0,,,,29
32.0,,,,30
36.0,,,,31
27.0,,,,32
34.0,,,,33
25.0,,,,34
22.0,,,,35
23.0,,,,36
21.0,,,,37
30.0,,,,38
33.0,,,,39
48.0,,,,40
50.0,,,,41
59.0,,,,42
60.0,,,,43
52.0,,,,44
45.0,,,,45
24.0,,,,46
20.0,,,,47
19.0,,,,48
18.0,,,,49
16.0,,,,50
15.0,,,,51
7.0,,,,52
9.0,,,,53
17.0,,,,54
14.0,,,,55
12.0,,,,56
26.0,,,,57
13.0,,,,58
11.0,,,,59
10.0,,,,60
8.0,,,,61
6.0,,,,62
5.0,,,,63
4.0,,,,64
3.0,,,,65
2.0,,,,66
1.0,,,,67
0.0,,,,68
576.0,,,,69
594.0,,,,70
620.0,,,,71
637.0,,,,72
658.0,,,,73
676.0,,,,74
688.0,,,,75
671.0,,,,76
662.0,,,,77
686.0,,,,78
701.0,,,,79
735.0,,,,80
752.0,,,,81
772.0,,,,82
783.0,,,,83
793.0,,,,84
823.0,,,,85
824.0,,,,86
842.0,,,,87
853.0,,,,88
890.0,,,,89
902.0,,,,90
913.0,,,,91
955.0,,,,92
980.0,,,,93
993.0,,,,94
1002.0,,,,95
1024.0,,,,96
1057.0,,,,97
1076.0,,,,98
1104.0,,,,99
1128.0,,,,100
1122.0,,,,101
1150.0,,,,102
1207.0,,,,103
1219.0,,,,104
1245.0,,,,105
1293.0,,,,106
1502.0,,,,107
1565.0,,,,108
1569.0,,,,109
1585.0,,,,110
1662.0,,,,111
1682.0,,,,112
1718.0,,,,113
1716.0,,,,114
1708.0,,,,115
1749.0,,,,116
1799.0,,,,117
1795.0,,,,118
1832.0,,,,119
1853.0,,,,120
1907.0,,,,121
1922.0,,,,122
1960.0,,,,123
1990.0,,,,124
2022.0,,,,125
2075.0,,,,126
2114.0,,,,127
2192.0,,,,128
2232.0,,,,129
2273.0,,,,130
2314.0,,,,131
2539.0,,,,132
2394.0,,,,133
2425.0,,,,134
2456.0,,,,135
2512.0,,,,136
2698.0,,,,137
2719.0,,,,138
2829.0,,,,139
2880.0,,,,140
3093.0,,,,141
2962.0,,,,142
2984.0,,,,143
2992.0,,,,144
3049.0,,,,145
3118.0,,,,146
3108.0,,,,147
3225.0,,,,148
3213.0,,,,149
3261.0,,,,150
3387.0,,,,151
3362.0,,,,152
3511.0,,,,153
3527.0,,,,154
3595.0,,,,155
3633.0,,,,156
3604.0,,,,157
3678.0,,,,158
3768.0,,,,159
3792.0,,,,160
3799.0,,,,161
3828.0,,,,162
3820.0,,,,163
3950.0,,,,164
3978.0,,,,165
4007.0,,,,166
3997.0,,,,167
4043.0,,,,168
4092.0,,,,169
4200.0,,,,170
4237.0,,,,171
4287.0,,,,172
4294.0,,,,173
4316.0,,,,174
4278.0,,,,175
4346.0,,,,176
4386.0,,,,177
4387.0,,,,178
4392.0,,,,179
4451.0,,,,180
4573.0,,,,181
4611.0,,,,182
4696.0,,,,183
4850.0,,,,184
4863.0,,,,185
5038.0,,,,186
4952.0,,,,187
5037.0,,,,188
4981.0,,,,189
4969.0,,,,190
5119.0,,,,191
4922.0,,,,192
4854.0,,,,193
4816.0,,,,194
4713.0,,,,195
4666.0,,,,196
4593.0,,,,197
4608.0,,,,198
4577.0,,,,199
4494.0,,,,200
4418.0,,,,201
4397.0,,,,202
4381.0,,,,203
4365.0,,,,204
4322.0,,,,205
4379.0,,,,206
4267.0,,,,207
4292.0,,,,208
4187.0,,,,209
4132.0,,,,210
4245.0,,,,211
4166.0,,,,212
4148.0,,,,213
4039.0,,,,214
3960.0,,,,215
4120.0,,,,216
4021.0,,,,217
4013.0,,,,218
4062.0,,,,219
3946.0,,,,220
3983.0,,,,221
3916.0,,,,222
3929.0,,,,223
3757.0,,,,224
3735.0,,,,225
3723.0,,,,226
3715.0,,,,227
3688.0,,,,228
3655.0,,,,229
3620.0,,,,230
3594.0,,,,231
3537.0,,,,232
3478.0,,,,233
3475.0,,,,234
3443.0,,,,235
3471.0,,,,236
3434.0,,,,237
3452.0,,,,238
3462.0,,,,239
3367.0,,,,240
3399.0,,,,241
3390.0,,,,242
3262.0,,,,243
3313.0,,,,244
3319.0,,,,245
3345.0,,,,246
3440.0,,,,247
3438.0,,,,248
3433.0,,,,249
3502.0,,,,250
3460.0,,,,251
3559.0,,,,252
3597.0,,,,253
3612.0,,,,254
3606.0,,,,255
3619.0,,,,256
3634.0,,,,257
3578.0,,,,258
3547.0,,,,259
3564.0,,,,260
3562.0,,,,261
3616.0,,,,262
3618.0,,,,263
3614.0,,,,264
3607.0,,,,265
3628.0,,,,266
3624.0,,,,267
3617.0,,,,268
3554.0,,,,269
3586.0,,,,270
3571.0,,,,271
3570.0,,,,272
3550.0,,,,273
3526.0,,,,274
3553.0,,,,275
3561.0,,,,276
3541.0,,,,277
3538.0,,,,278
3514.0,,,,279
3581.0,,,,280
3573.0,,,,281
3608.0,,,,282
3605.0,,,,283
3529.0,,,,284
3504.0,,,,285
3467.0,,,,286
3505.0,,,,287
3521.0,,,,288
3489.0,,,,289
3485.0,,,,290
3484.0,,,,291
3525.0,,,,292
3491.0,,,,293
3417.0,,,,294
3454.0,,,,295
3479.0,,,,296
3469.0,,,,297
3522.0,,,,298
3534.0,,,,299
3530.0,,,,300
3591.0,,,,301
3574.0,,,,302
3585.0,,,,303
3508.0,,,,304
3506.0,,,,305
3639.0,,,,306
3702.0,,,,307
3638.0,,,,308
3626.0,,,,309
3652.0,,,,310
3642.0,,,,311
3706.0,,,,312
3742.0,,,,313
3718.0,,,,314
3761.0,,,,315
3789.0,,,,316
3819.0,,,,317
3836.0,,,,318
3879.0,,,,319
3900.0,,,,320
3971.0,,,,321
3977.0,,,,322
4105.0,,,,323
4304.0,,,,324
4366.0,,,,325
4492.0,,,,326
4791.0,,,,327
4805.0,,,,328
4858.0,,,,329
4942.0,,,,330
5036.0,,,,331
5134.0,,,,332
5178.0,,,,333
5317.0,,,,334
5369.0,,,,335
5370.0,,,,336
5371.0,,,,337
5426.0,,,,338
5389.0,,,,339
5342.0,,,,340
5299.0,,,,341
5268.0,,,,342
5285.0,,,,343
5294.0,,,,344
5357.0,,,,345
5375.0,,,,346
5394.0,,,,347
5420.0,,,,348
5457.0,,,,349
5517.0,,,,350
5538.0,,,,351
5690.0,,,,352
5813.0,,,,353
5877.0,,,,354
5951.0,,,,355
6027.0,,,,356
6138.0,,,,357
6214.0,,,,358
6373.0,,,,359
6552.0,,,,360
6644.0,,,,361
6802.0,,,,362
6872.0,,,,363
6909.0,,,,364
7206.0,,,,365
7325.0,,,,366
7417.0,,,,367
7614.0,,,,368
7698.0,,,,369
7668.0,,,,370
7731.0,,,,371
7776.0,,,,372
7827.0,,,,373
7794.0,,,,374
7769.0,,,,375
7817.0,,,,376
7839.0,,,,377
7895.0,,,,378
7910.0,,,,379
7969.0,,,,380
7890.0,,,,381
7664.0,,,,382
7520.0,,,,383
7467.0,,,,384
7386.0,,,,385
7366.0,,,,386
7345.0,,,,387
7326.0,,,,388
7241.0,,,,389
7199.0,,,,390
7057.0,,,,391
6998.0,,,,392
6953.0,,,,393
6869.0,,,,394
6636.0,,,,395
6308.0,,,,396
6046.0,,,,397
5784.0,,,,398
5667.0,,,,399
5671.0,,,,400
5607.0,,,,401
5642.0,,,,402
5546.0,,,,403
5443.0,,,,404
5405.0,,,,405
5427.0,,,,406
5349.0,,,,407
5222.0,,,,408
5199.0,,,,409
5092.0,,,,410
5013.0,,,,411
4868.0,,,,412
4873.0,,,,413
4783.0,,,,414
4681.0,,,,415
4643.0,,,,416
4583.0,,,,417
4532.0,,,,418
4358.0,,,,419
4318.0,,,,420
4219.0,,,,421
4155.0,,,,422
4160.0,,,,423
4090.0,,,,424
3976.0,,,,425
3913.0,,,,426
3767.0,,,,427
3748.0,,,,428
3714.0,,,,429
3657.0,,,,430
3646.0,,,,431
3675.0,,,,432
3613.0,,,,433
3635.0,,,,434
3623.0,,,,435
3598.0,,,,436
3528.0,,,,437
3476.0,,,,438
3377.0,,,,439
3328.0,,,,440
3298.0,,,,441
3226.0,,,,442
3173.0,,,,443
3087.0,,,,444
2952.0,,,,445
2872.0,,,,446
2808.0,,,,447
2747.0,,,,448
2713.0,,,,449
2672.0,,,,450
2602.0,,,,451
2497.0,,,,452
2452.0,,,,453
2391.0,,,,454
2396.0,,,,455
2293.0,,,,456
2283.0,,,,457
2247.0,,,,458
2297.0,,,,459
2172.0,,,,460
2142.0,,,,461
2103.0,,,,462
1829.0,,,,463
1851.0,,,,464
1785.0,,,,465
1614.0,,,,466
1593.0,,,,467
1516.0,,,,468
1496.0,,,,469
1440.0,,,,470
1489.0,,,,471
1366.0,,,,472
1322.0,,,,473
1271.0,,,,474
1248.0,,,,475
1237.0,,,,476
1200.0,,,,477
1184.0,,,,478
1160.0,,,,479
1140.0,,,,480
1085.0,,,,481
1070.0,,,,482
1052.0,,,,483
1032.0,,,,484
1021.0,,,,485
1007.0,,,,486
977.0,,,,487
981.0,,,,488
971.0,,,,489
967.0,,,,490
920.0,,,,491
921.0,,,,492
907.0,,,,493
808.0,,,,494
789.0,,,,495
795.0,,,,496
801.0,,,,497
773.0,,,,498
750.0,,,,499
739.0,,,,500
737.0,,,,501
736.0,,,,502
648.0,,,,503
633.0,,,,504
631.0,,,,505
627.0,,,,506
609.0,,,,507
613.0,,,,508
606.0,,,,509
596.0,,,,510
593.0,,,,511
603.0,,,,512
604.0,,,,513
608.0,,,,514
605.0,,,,515
618.0,,,,516
621.0,,,,517
651.0,,,,518
617.0,,,,519
586.0,,,,520
565.0,,,,521
578.0,,,,522
572.0,,,,523
584.0,,,,524
560.0,,,,525
561.0,,,,526
566.0,,,,527
570.0,,,,528
590.0,,,,529
600.0,,,,530
614.0,,,,531
632.0,,,,532
657.0,,,,533
656.0,,,,534
687.0,,,,535
692.0,,,,536
707.0,,,,537
706.0,,,,538
681.0,,,,539
693.0,,,,540
704.0,,,,541
742.0,,,,542
756.0,,,,543
779.0,,,,544
797.0,,,,545
803.0,,,,546
832.0,,,,547
830.0,,,,548
809.0,,,,549
820.0,,,,550
880.0,,,,551
892.0,,,,552
1004.0,,,,553
1009.0,,,,554
1012.0,,,,555
1102.0,,,,556
1162.0,,,,557
1218.0,,,,558
1396.0,,,,559
1572.0,,,,560
1680.0,,,,561
1852.0,,,,562
1901.0,,,,563
1967.0,,,,564
2084.0,,,,565
2206.0,,,,566
2406.0,,,,567
2268.0,,,,568
1965.0,,,,569
2036.0,,,,570
2099.0,,,,571
2330.0,,,,572
2310.0,,,,573
2470.0,,,,574
2511.0,,,,575
2558.0,,,,576
2562.0,,,,577
2592.0,,,,578
2640.0,,,,579
2755.0,,,,580
2836.0,,,,581
2945.0,,,,582
2924.0,,,,583
2912.0,,,,584
2909.0,,,,585
2864.0,,,,586
2762.0,,,,587
2750.0,,,,588
2692.0,,,,589
2630.0,,,,590
2597.0,,,,591
2537.0,,,,592
2493.0,,,,593
2428.0,,,,594
2321.0,,,,595
2107.0,,,,596
2086.0,,,,597
2026.0,,,,598
2001.0,,,,599
1884.0,,,,600
1862.0,,,,601
1789.0,,,,602
1645.0,,,,603
1625.0,,,,604
1542.0,,,,605
1474.0,,,,606
1452.0,,,,607
1384.0,,,,608
1247.0,,,,609
1170.0,,,,610
1156.0,,,,611
1136.0,,,,612
1101.0,,,,613
1035.0,,,,614
966.0,,,,615
961.0,,,,616
916.0,,,,617
861.0,,,,618
759.0,,,,619
738.0,,,,620
768.0,,,,621
761.0,,,,622
741.0,,,,623
691.0,,,,624
699.0,,,,625
689.0,,,,626
678.0,,,,627
659.0,,,,628
664.0,,,,629
607.0,,,,630
556.0,,,,631
550.0,,,,632
555.0,,,,633
541.0,,,,634
542.0,,,,635
487.0,,,,636
476.0,,,,637
468.0,,,,638
466.0,,,,639
428.0,,,,640
429.0,,,,641
421.0,,,,642
424.0,,,,643
412.0,,,,644
372.0,,,,645
82.0,426.0,,,646
86.0,441.0,,,647
92.0,415.0,,,648
93.0,457.0,,,649
95.0,490.0,,,650
96.0,457.0,,,651
93.0,305.0,,,652
87.0,263.0,,,653
81.0,262.0,,,654
81.0,247.0,,,655
80.0,240.0,,,656
83.0,239.0,,,657
