Data Dictionary ,
,
Column Name,Description 
,
Player Name,Player' Full Name
Player Position,Player's Position
Player Age,Player's Age
Player Market Value (M),Market Value of the Player in Millions
Country Playing in,Current Country the Player plays in
Current League,Current League Players plays in
Club,Current Club Player plays in
Country Moving to,Country the Player is moving to
New League,New League Player in moving to
Club Moving to,New Club the player is moving to
Fees Paid for Player (M),Tranfer Fees Paid for the Player in Millions
On Loan,Yes = On Loan / No = Not On Loan
