Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,603711760,7745.315723497687,3612553,46.34722297420334,472582,6484136,83.18817661278851,11553,0.14821913118533372,1277,
United States of America,Americas,93580725,28271.896,476675,144.009,25686,1036949,313.275,2423,0.732,67
India,South-East Asia,44472241,3222.616,43848,3.177,5379,528057,38.265,183,0.013,27
Brazil,Americas,34477539,16220.189,80334,37.794,0,684425,321.992,803,0.378,0
France,Europe,33599863,51660.815,105883,162.798,26918,150804,231.866,281,0.432,60
Germany,Europe,32344032,38890.599,181064,217.712,33311,147981,177.933,45,0.054,4
Republic of Korea,Western Pacific,23791961,46405.967,545637,1064.259,85540,27249,53.149,485,0.946,56
The United Kingdom,Europe,23522244,34649.622,2853,4.203,0,188242,277.291,0,0,0
Italy,Europe,21969725,36836.313,123782,207.543,24848,175952,295.016,447,0.749,80
Russian Federation,Europe,19857571,13607.184,328602,225.171,47958,384976,263.801,630,0.432,94
Japan,Western Pacific,19635246,15524.822,863242,682.532,100729,41575,32.872,2011,1.59,282
Türkiye,Europe,16797750,19916.927,0,0,0,100840,119.565,0,0,0
Spain,Europe,13358722,28223.081,16192,34.209,6703,112903,238.531,303,0.64,99
Viet Nam,Western Pacific,11424754,11737.128,15802,16.234,3699,43123,44.302,6,0.006,1
Australia,Western Pacific,10084917,39548.874,67015,262.805,9251,14152,55.498,318,1.247,75
Argentina,Americas,9689861,21439.75,11636,25.746,0,129769,287.126,58,0.128,0
Netherlands,Europe,8392953,48214.344,7856,45.13,1453,22609,129.88,10,0.057,4
Iran (Islamic Republic of),Eastern Mediterranean,7535272,8971.315,7773,9.254,1090,144048,171.5,228,0.271,29
Mexico,Americas,7041181,5461.127,7299,5.661,0,329622,255.654,54,0.042,0
China,Western Pacific,6655733,452.375,254259,17.281,39674,25088,1.705,282,0.019,30
Indonesia,South-East Asia,6382002,2333.254,23194,8.48,3513,157717,57.661,151,0.055,21
Colombia,Americas,6302809,12386.892,3214,6.316,0,141646,278.376,127,0.25,0
Poland,Europe,6198213,16329.075,21328,56.188,4448,117194,308.745,101,0.266,20
Portugal,Europe,5432818,52766.764,17044,165.541,3733,24894,241.785,47,0.456,7
Ukraine,Europe,5072533,11598.667,16155,36.939,0,108885,248.972,44,0.101,0
Austria,Europe,4984809,56002.395,29323,329.433,4370,20678,232.309,22,0.247,1
Malaysia,Western Pacific,4795009,14814.958,14725,45.495,2067,36255,112.016,45,0.139,6
Greece,Europe,4762827,44435.305,0,0,0,32552,303.697,0,0,0
Thailand,South-East Asia,4662569,6679.9,11650,16.691,1605,32464,46.51,161,0.231,20
Israel,Europe,4638799,53593.403,5847,67.552,922,11643,134.515,7,0.081,1
Chile,Americas,4538858,23743.515,36184,189.284,2478,60645,317.244,200,1.046,6
Belgium,Europe,4492773,38991.507,6023,52.272,0,32561,282.588,29,0.252,0
Canada,Americas,4179337,11073.393,20843,55.225,0,44085,116.806,261,0.692,0
Peru,Americas,4115878,12483.004,14955,45.357,761,215928,654.886,243,0.737,51
Czechia,Europe,4051975,37890.388,11150,104.265,2450,40869,382.17,32,0.299,5
Switzerland,Europe,4040285,46683.574,10560,122.016,5,13539,156.437,4,0.046,0
South Africa,Africa,4012812,6765.976,1155,1.947,0,102108,172.164,24,0.04,0
Philippines,Western Pacific,3894840,3554.3,16169,14.755,1326,62118,56.687,345,0.315,56
Denmark,Europe,3277463,56287.075,5018,86.179,1064,6960,119.531,40,0.687,7
Romania,Europe,3231240,16717.197,14983,77.516,2876,66795,345.572,122,0.631,16
Sweden,Europe,2569152,24876.59,1868,18.087,0,19904,192.726,1,0.01,0
Iraq,Eastern Mediterranean,2458509,6112.274,638,1.586,0,25348,63.019,2,0.005,0
Serbia,Europe,2300688,33214.754,21203,306.105,3461,16765,242.034,93,1.343,15
Hungary,Europe,2058847,21074.175,10300,105.43,10300,47367,484.844,76,0.778,76
Bangladesh,South-East Asia,2013689,1222.719,1743,1.058,282,29329,17.809,6,0.004,0
Singapore,Western Pacific,1850015,31622.339,12925,220.927,2745,1596,27.28,4,0.068,0
Slovakia,Europe,1836074,33640.834,1859,34.061,409,20374,373.296,21,0.385,5
Jordan,Eastern Mediterranean,1738867,17042.479,3372,33.049,0,14114,138.33,4,0.039,0
New Zealand,Western Pacific,1736534,36010.993,11925,247.292,1905,2869,59.495,57,1.182,8
Georgia,Europe,1735682,43509.798,0,0,0,16889,423.371,0,0,0
Ireland,Europe,1656956,33376.494,75,1.511,0,7839,157.903,2,0.04,0
Pakistan,Eastern Mediterranean,1570304,710.891,1455,0.659,98,30593,13.85,18,0.008,0
Kazakhstan,Europe,1480536,7884.961,2142,11.408,335,19043,101.418,2,0.011,1
Norway,Europe,1460549,27210.568,542,10.098,61,4004,74.596,24,0.447,0
Finland,Europe,1266917,22929.413,498,9.013,0,5690,102.981,0,0,0
Morocco,Eastern Mediterranean,1264580,3426.066,192,0.52,24,16274,44.09,1,0.003,0
Bulgaria,Europe,1245918,17923.056,3785,54.449,461,37621,541.194,21,0.302,1
Lithuania,Europe,1223495,43788.675,5047,180.631,1000,9296,332.702,6,0.215,0
Croatia,Europe,1216935,29987.322,4388,108.128,479,16756,412.896,69,1.7,10
Lebanon,Eastern Mediterranean,1211274,17746.447,2349,34.415,134,10640,155.887,16,0.234,1
Tunisia,Eastern Mediterranean,1144824,9686.614,1036,8.766,0,29238,247.389,4,0.034,0
Slovenia,Europe,1136236,54213.328,9466,451.652,1811,8161,389.387,5,0.239,0
Cuba,Americas,1110759,9806.627,262,2.313,17,8530,75.309,0,0,0
Guatemala,Americas,1105036,6168.021,6709,37.448,127,19567,109.218,107,0.597,0
Bolivia (Plurinational State of),Americas,1104102,9458.58,3282,28.116,-807,22209,190.259,13,0.111,0
Costa Rica,Americas,1097629,21546.988,8913,174.967,0,8887,174.456,31,0.609,0
United Arab Emirates,Eastern Mediterranean,1017954,10292.342,3055,30.889,411,2341,23.669,0,0,0
Nepal,South-East Asia,998295,3426.233,949,3.257,128,12009,41.216,8,0.027,2
Ecuador,Americas,997540,5654.01,2429,13.767,59,35862,203.264,30,0.17,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,981822,22754.925,3641,84.385,0,8480,196.534,10,0.232,0
Uruguay,Americas,981186,28245.891,2026,58.323,0,7455,214.611,10,0.288,0
Mongolia,Western Pacific,980442,29907.116,1264,38.557,0,2129,64.942,0,0,0
Puerto Rico,Americas,933129,32617.16,11295,394.812,0,5004,174.913,43,1.503,8
Latvia,Europe,904090,47392.244,4957,259.845,1200,5954,312.108,8,0.419,1
Azerbaijan,Europe,816087,8048.85,3271,32.261,492,9831,96.961,26,0.256,6
Saudi Arabia,Eastern Mediterranean,813986,2338.108,610,1.752,108,9309,26.739,16,0.046,3
